game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Pertarungan,"Street Fighter 6: Pertarungan  jalanan klasik yang dipompa ul ang! Kuasai petarung ikonik de ngan gerakan baru, visual memu kau, dan mode game yang inovat if.",Keduanya
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,Shooter,"Berburu monster brutal dan pem ain lain dalam dunia gelap, pe nuh risiko tahun 1896. Bertaha n hidup, kumpulkan hadiah, dan  jadilah pemburu terhebat.",Keduanya
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,Aksi,Wuthering Waves adalah RPG aks i dunia terbuka yang menggabun gkan pertarungan cepat dengan  kebebasan eksplorasi. Ungkap r ahasia dunia pasca-apokaliptik  dan taklukkan musuh dengan be rbagai karakter unik.,Keduanya
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Simulasi,"Arma Reforger adalah game simu lasi perang multipemain di pul au era Perang Dingin. Rasakan  pertempuran realistis, kustomi sasi, dan buat pengalamanmu se ndiri dengan alat modding.",Keduanya
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Horor,"Lethal Company adalah game hor or kooperatif tentang sekelomp ok pekerja kontrak yang mengum pulkan barang-barang rongsokan  di bulan-bulan industri yang  ditinggalkan, sambil menghinda ri makhluk mematikan.",Pemain Banyak
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,Shooter,"Masuki Arena Breakout: Infinit e, penembak FPS taktis PvP/PvE  hardcore. Rampas harta, berta han hidup, dan keluar dari zon a perang mematikan.",Pemain Banyak
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,Aksi,"""Zenless Zone Zero"" adalah gam e aksi RPG yang seru dengan ga meplay bertempo cepat, rogueli ke, dan karakter unik. Hadapi  Hollows, jelajahi dunia pasca- apokaliptik, dan kuasai pertar ungan!",Pemain Tunggal
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Bertahan,"Bertahan hidup di dunia purba  yang liar! Kumpulkan sumber da ya, bangun markas, jinakkan di nosaurus, dan hadapi bahaya da lam game survival open-world y ang penuh aksi.",Keduanya
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategi,"Raih kejayaan dalam Civilizati on VII! Bangun peradabanmu dar i masa lalu ke masa depan, jel ajahi dunia, kembangkan teknol ogi, dan taklukkan atau diplom asi.",Keduanya
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,"SMITE 2 adalah MOBA dewa-dewi  generasi berikutnya. Kuasai ke kuatan ilahi dalam pertempuran  tim strategis, tingkatkan ket erampilan, dan taklukkan arena !",Pemain Banyak
