Rank,Perusahaan,Industri,Revenue (USD millions),Revenue growth,Employees,Headquarters,website,email
1,Walmart,Retail,648125,6.0%,2100000,"Bentonville, Arkansas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
2,Amazon,Retail and cloud computing,574785,11.9%,1525000,"Seattle, Washington",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
3,Apple,Electronics industry,383482,-2.8%,161000,"Cupertino, California",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
4,UnitedHealth Group,Healthcare,371622,14.6%,440000,"Minnetonka, Minnesota",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
5,Berkshire Hathaway,Conglomerate,364482,20.7%,396500,"Omaha, Nebraska",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
6,CVS Health,Healthcare,357776,10.9%,259500,"Woonsocket, Rhode Island",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
7,ExxonMobil,Petroleum industry,344582,-16.7%,61500,"Spring, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
8,Alphabet,Technology and cloud computing,307394,8.7%,182502,"Mountain View, California",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
9,McKesson Corporation,Health,276711,4.8%,48000,"Irving, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
10,Cencora,Pharmacy wholesale,262173,9.9%,44000,"Conshohocken, Pennsylvania",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
11,Costco,Retail,242290,6.8%,316000,"Issaquah, Washington",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
12,JPMorgan Chase,Financial services,239425,54.7%,309926,"New York City, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
13,Microsoft,Technology and cloud computing,211915,6.9%,221000,"Redmond, Washington",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
14,Cardinal Health,Healthcare,205012,13.0%,47520,"Dublin, Ohio",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
15,Chevron Corporation,Petroleum industry,200949,-18.4%,45600,"Houston, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
16,Cigna,Health insurance,195265,8.2%,71413,"Bloomfield, Connecticut",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
17,Ford Motor Company,Automotive industry,176191,11.5%,177000,"Dearborn, Michigan",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
18,Bank of America,Financials,171912,49.4%,212985,"Charlotte, North Carolina",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
19,General Motors,Automotive industry,171842,9.6%,163000,"Detroit, Michigan",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
20,Elevance Health,Healthcare,171340,9.4%,104900,"Indianapolis, Indiana",https://www.google.com/preferences?hl=en,[]
21,Citigroup,Financials,156820,55.1%,237925,"New York City, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
22,Centene,Healthcare,153999,6.5%,67700,"St. Louis, Missouri",https://www.google.com/preferences?hl=en,[]
23,The Home Depot,Retail,152669,-3.0%,463100,"Atlanta, Georgia",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
24,Marathon Petroleum,Petroleum industry,150307,-16.5%,18200,"Findlay, Ohio",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
25,Kroger,Retail,150039,-3.6%,414000,"Cincinnati, Ohio",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
26,Phillips 66,Petroleum industry,149890,-14.7%,14000,"Houston, Texas",https://www.google.com/preferences?hl=en,[]
27,Fannie Mae,Financials,141240,16.2%,8100,"Washington, D.C.",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
28,Walgreens Boots Alliance,Pharmaceutical industry,139081,4.8%,268500,"Deerfield, Illinois",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
29,Valero Energy,Petroleum industry,139001,-18.8%,9987,"San Antonio, Texas",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
30,Meta Platforms,Technology,134902,15.7%,67317,"Menlo Park, California",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
31,Verizon Communications,Telecommunications,133974,-2.1%,105400,"New York City, New York",https://support.google.com/websearch,"['asxvmprobertest@gmail.com', 'smart.journey.prober@gmail.com']"
32,AT&T,Conglomerate and telecommunications,122428,1.4%,150470,"Dallas, Texas",https://www.google.com/preferences?hl=en,[]
